"","architecture","acc_train","acc_validation","acc_test","percentage"
"1","nnnnnnnnnnnnnnnn_nnnn_nnnn",0.964352722694566,0.963640187757764,0.931525122462087,16.25
"2","nnnnnnnnnnnnnnnn_nnnnn_nnnn",0.977291850116835,0.975620016925422,0.942641173855047,16.25
"3","nnnnnnnnnnnnnnnn/nnnnnnn/nnnn",0.987152516797107,0.978129115987358,0.959537572285657,13.75
"4","nnnnnnnnnnnnnnnn_nnnnnn_nnnn",0.981833485773975,0.979508208446815,0.94161849714428,12.5
"5","nnnnnnnnnnnnnnnn_nnn_nnnn",0.946173254401536,0.95309652835945,0.930635838379979,7.5
"6","nnnnnnnnnnnnnnnn/nnnnnnnn/nnnn",0.988264462691693,0.979710143683613,0.958381502959081,6.25
"7","nnnnnnnnnnnnnnnn/nnnnnn/nnnn",0.98801652892562,0.971014491976171,0.933526011560694,2.5
"8","nnnnnnnnnnnnnnnn/nnnnnn/nnnnnn/nnnn",0.986363636068076,0.978260868010314,0.959537572254335,2.5
"9","nnnnnnnnnnnnnnnn/nnnnnnn/nnnnnnn/nnnn",0.987190082644628,0.979710144150084,0.936416184971098,2.5
"10","nnnnnnnnnnnnnnnn/nnnnnnnnn/nnnn",0.98595041292758,0.975362317285676,0.965317919075145,2.5
"11","nnnnnnnnnnnnnnnn/nnnnnnnnnn/nnnn",0.990082644628099,0.98260869409727,0.982658959537572,2.5
"12","nnnnnnnnnnnnnnnn_nnnnnn_nnnnnn_nnnn",0.984440717003344,0.982240454095309,0.950867052023121,2.5
"13","nnnnnnnnnnnnnnnn/nnnnn/nnnn",0.98595041322314,0.976811592647995,0.982658959537572,1.25
"14","nnnnnnnnnnnnnnnn/nnnnn/nnnnn/nnnn",0.991735537190083,0.976811592647995,0.959537572598871,1.25
"15","nnnnnnnnnnnnnnnn/nnnnnnnn/nnnnnnnn/nnnn",0.989256198347107,0.979710143372632,0.947976878612717,1.25
"16","nnnnnnnnnnnnnnnn/nnnnnnnn/nnnnnnnn/nnnnnnnn/nnnn",0.985123966942149,0.976811592647995,0.953757225433526,1.25
"17","nnnnnnnnnnnnnnnn/nnnnnnnnn/nnnnnnnnn/nnnn",0.989256198347107,0.976811594202899,0.947976878612717,1.25
"18","nnnnnnnnnnnnnnnn_nn_nnnn",0.916736766457859,0.912568319039267,0.901734104390778,1.25
"19","nnnnnnnnnnnnnnnn_nnnnn_nnnnn_nnnn",0.972245587332094,0.978142086599694,0.953757225433526,1.25
"20","nnnnnnnnnnnnnnnn_nnnnn_nnnnn_nnnnn_nnnn",0.982338114983901,0.969945348677088,0.942196531791908,1.25
"21","nnnnnnnnnnnnnnnn_nnnnnn_nnnnnn_nnnnnn_nnnnnn_nnnn",0.983179157075008,0.986338810842545,0.953757225433526,1.25
"22","nnnnnnnnnnnnnnnn_nnnnnn_nnnnnn_nnnnnn_nnnnnn_nnnnnn_nnnnnn_nnnn",0.981497075950728,0.980874324431185,0.936416184971098,1.25
