"","architecture","partial_acc_train","partial_acc_validation","partial_acc_test","total_acc_train","total_acc_validation","total_acc_test","percentage"
"1","nnnn/nnnn/nnn",0.665079366624671,0.633333336975839,0.562962979078293,0.957142857773594,0.933333320750131,0.97407407561938,22.5
"2","nnnn/nnn/nnn",0.708424909909566,0.671794873017531,0.64102566242218,0.931868132566794,0.912820490506979,0.938461542129517,16.25
"3","nnnn/nnnnn/nnn",0.664285715988704,0.612500000745058,0.5500000230968,0.976190476687182,0.94999998062849,1,10
"4","nnnn/nn/nnn",0.674829933594684,0.604761907032558,0.57142858845847,0.817687076046353,0.785714268684387,0.790476202964783,8.75
"5","nnnn/nnnnnnn/nnn",0.73523809671402,0.699999988079071,0.693333351612091,0.979047619615282,0.966666638851166,1,6.25
"6","nnnn/n/nnn",0.635714287559191,0.599999994039536,0.533333353698254,0.69047619217918,0.633333325386047,0.616666689515114,5
"7","nnnn/nnnn/nnnn/nnn",0.766666667660077,0.766666650772095,0.750000014901161,0.973809524377187,0.966666638851166,1,5
"8","nnnn/nnnnn/nnnnn/nnn",0.738095239514396,0.733333319425583,0.700000017881393,0.83333333446866,0.799999982118607,0.800000011920929,2.5
"9","nnnn/nnnnnn/nnn",0.623809524802935,0.533333331346512,0.533333346247673,0.980952381520044,0.966666638851166,1,2.5
"10","nnnn/nnnnnnnn/nnn",0.728571429990587,0.699999988079071,0.700000017881393,0.97619047675814,0.966666638851166,1,2.5
"11","nnnn/nnnnnnnnn/nnn",0.685714287417276,0.633333325386047,0.600000023841858,0.980952381520044,0.966666638851166,1,2.5
"12","nnnn/nnnnnnnnnn/nnn",0.728571429990587,0.666666656732559,0.700000017881393,0.97619047675814,0.966666638851166,1,2.5
"13","nnnn/n/n/nnn",0.685714287417276,0.633333325386047,0.600000023841858,0.685714287417276,0.633333325386047,0.600000023841858,1.25
"14","nnnn/nn/nn/nn/nnn",0.695238096941085,0.633333325386047,0.600000023841858,0.695238096941085,0.633333325386047,0.600000023841858,1.25
"15","nnnn/nn/nnn/nnn/nnn",0.676190477325803,0.666666686534882,0.600000023841858,0.971428571996235,0.966666638851166,1,1.25
"16","nnnn/nnn/n/n/nnn",0.685714287417276,0.633333325386047,0.600000023841858,0.685714287417276,0.633333325386047,0.600000023841858,1.25
"17","nnnn/nnn/n/nnn",0.609523811226799,0.533333361148834,0.466666668653488,0.685714287417276,0.633333325386047,0.600000023841858,1.25
"18","nnnn/nnn/nnn/nnn",0.876190476190476,0.866666674613953,0.866666674613953,0.980952380952381,0.966666638851166,1,1.25
"19","nnnn/nnnn/nnnn/nnnnn/nnnn/nnnn/nnnnn/nnn",0.685714287417276,0.633333325386047,0.600000023841858,0.980952381520044,0.966666638851166,1,1.25
"20","nnnn/nnnnn/n/nnnnn/nnn",0.904761905329568,0.833333313465118,0.866666674613953,0.980952381520044,0.966666638851166,1,1.25
"21","nnnn/nnnnn/nnnnn/nnnnn/nnn",0.733333335036323,0.733333349227905,0.666666686534882,0.980952381520044,0.899999976158142,1,1.25
"22","nnnn/nnnnnn/n/n/nnn",0.714285715988704,0.633333325386047,0.600000023841858,0.704761906464895,0.633333325386047,0.666666686534882,1.25
"23","nnnn/nnnnnn/nnnnnn/nnn",0.800000001135327,0.766666650772095,0.733333349227905,0.980952380952381,0.966666638851166,1,1.25
